"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2018","1.1579","1.1548","1.1606","1.1526","17.57K","-0.04%"
"Oct 03, 2018","1.1584","1.1616","1.1661","1.1532","19.27K","-0.25%"
"Oct 02, 2018","1.1613","1.1644","1.1649","1.1574","14.93K","-0.27%"
"Oct 01, 2018","1.1645","1.1681","1.1694","1.1633","13.04K","-0.32%"
"Sep 28, 2018","1.1682","1.1712","1.1723","1.1641","18.36K","-0.42%"
"Sep 27, 2018","1.1731","1.1812","1.1830","1.1712","23.36K","-0.90%"
"Sep 26, 2018","1.1837","1.1843","1.1874","1.1800","19.78K","-0.06%"
"Sep 25, 2018","1.1844","1.1826","1.1869","1.1808","16.05K","0.07%"
"Sep 24, 2018","1.1836","1.1825","1.1894","1.1802","15.00K","0.08%"
"Sep 21, 2018","1.1826","1.1856","1.1881","1.1811","17.05K","-0.24%"
"Sep 20, 2018","1.1855","1.1753","1.1864","1.1745","19.60K","0.85%"
"Sep 19, 2018","1.1755","1.1753","1.1796","1.1731","18.06K","0.05%"
"Sep 18, 2018","1.1749","1.1767","1.1806","1.1734","19.40K","0.50%"
"Sep 17, 2018","1.1691","1.1625","1.1695","1.1613","0.28K","0.49%"
"Sep 14, 2018","1.1634","1.1692","1.1723","1.1621","3.17K","-0.51%"
"Sep 13, 2018","1.1694","1.1629","1.1703","1.1611","15.91K","0.49%"
"Sep 12, 2018","1.1637","1.1606","1.1654","1.1574","16.37K","0.41%"
"Sep 11, 2018","1.1590","1.1600","1.1648","1.1570","14.47K","-0.11%"
"Sep 10, 2018","1.1603","1.1558","1.1621","1.1531","10.43K","0.27%"
"Sep 07, 2018","1.1572","1.1631","1.1656","1.1557","17.15K","-0.53%"
"Sep 06, 2018","1.1634","1.1641","1.1667","1.1613","13.99K","0.00%"
"Sep 05, 2018","1.1634","1.1589","1.1650","1.1553","18.66K","0.37%"
"Sep 04, 2018","1.1591","1.1614","1.1639","1.1541","18.43K","-0.28%"
"Sep 03, 2018","1.1624","1.1609","1.1639","1.1601","-","0.13%"
"Sep 02, 2018","1.1609","1.1608","1.1615","1.1604","-","0.00%"
"Aug 31, 2018","1.1609","1.1679","1.1703","1.1597","15.78K","-0.58%"
"Aug 30, 2018","1.1677","1.1722","1.1731","1.1652","13.93K","-0.32%"
"Aug 29, 2018","1.1715","1.1708","1.1727","1.1668","13.07K","0.03%"
"Aug 28, 2018","1.1711","1.1695","1.1750","1.1680","13.75K","0.13%"
"Aug 27, 2018","1.1696","1.1640","1.1711","1.1611","14.79K","0.45%"
"Aug 24, 2018","1.1644","1.1561","1.1659","1.1553","17.85K","0.76%"
"Aug 23, 2018","1.1556","1.1617","1.1618","1.1549","14.54K","-0.47%"
"Aug 22, 2018","1.1610","1.1594","1.1644","1.1574","13.62K","0.13%"
"Aug 21, 2018","1.1595","1.1511","1.1623","1.1507","18.78K","0.91%"
"Aug 20, 2018","1.1490","1.1461","1.1508","1.1416","11.42K","0.19%"
"Aug 17, 2018","1.1468","1.1399","1.1469","1.1390","13.25K","0.68%"
"Aug 16, 2018","1.1390","1.1370","1.1434","1.1359","15.78K","0.15%"
"Aug 15, 2018","1.1373","1.1374","1.1382","1.1327","14.38K","0.06%"
"Aug 14, 2018","1.1366","1.1432","1.1456","1.1357","13.71K","-0.50%"
"Aug 13, 2018","1.1423","1.1417","1.1462","1.1394","18.10K","-0.05%"
"Aug 10, 2018","1.1429","1.1559","1.1566","1.1417","29.90K","-1.24%"
"Aug 09, 2018","1.1573","1.1647","1.1650","1.1555","10.63K","-0.68%"
"Aug 08, 2018","1.1652","1.1631","1.1662","1.1605","10.51K","0.21%"
"Aug 07, 2018","1.1628","1.1587","1.1642","1.1585","7.93K","0.32%"
"Aug 06, 2018","1.1591","1.1608","1.1608","1.1565","7.75K","-0.20%"
"Aug 03, 2018","1.1614","1.1621","1.1646","1.1595","11.75K","-0.08%"
"Aug 02, 2018","1.1623","1.1699","1.1705","1.1619","9.52K","-0.68%"
"Aug 01, 2018","1.1703","1.1728","1.1740","1.1696","7.61K","-0.30%"
"Jul 31, 2018","1.1738","1.1748","1.1789","1.1725","14.54K","-0.11%"
"Jul 30, 2018","1.1751","1.1698","1.1761","1.1689","10.14K","0.44%"
"Jul 27, 2018","1.1699","1.1682","1.1707","1.1662","10.80K","0.09%"
"Jul 26, 2018","1.1689","1.1769","1.1787","1.1683","13.01K","-0.49%"
"Jul 25, 2018","1.1747","1.1729","1.1785","1.1709","12.31K","0.14%"
"Jul 24, 2018","1.1730","1.1740","1.1764","1.1702","10.58K","-0.06%"
"Jul 23, 2018","1.1737","1.1773","1.1801","1.1731","10.01K","-0.31%"
